"Drug","MW","IndividualId","CL_L_h_kg","Vc_L_kg","Q_L_h_kg","Vp_L_kg","Rtot_nM","kdeg_h","kint_h","Kss_nM"
"Avelumab",147000,52,0.00173061645019388,0.0561566169642238,0.00155671444099763,0.0347486393972727,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,53,0.000885728087659446,0.0213712985934399,0.000776075514780387,0.0368206434464265,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,54,0.00117782762014148,0.110635650691558,0.00129753081355239,0.0349243269100906,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,55,0.000982631643399024,0.0383702149860826,0.00251280463455001,0.0418366569659849,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,56,0.00119757917464581,0.0263689774067487,0.0012126921230154,0.0658370562041772,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,57,0.000969537994192295,0.0446193530584611,0.00159927402161416,0.0429557327628642,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,58,0.00096889431773722,0.0661245601501411,0.00127853684204552,0.0526070699126497,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,59,0.000481236721709938,0.0312103228814347,0.00110613785159687,0.0317658783289916,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,60,0.00112412249035945,0.0484738971815492,0.00142208742685615,0.0353756539202543,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,61,0.0010389920735439,0.0450344618816041,0.00147332441174644,0.0299580157790446,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,62,0.00142386101180035,0.0540227633343513,0.0018899805257289,0.0354450215231114,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,63,0.000900713867913284,0.0486396668236109,0.00176705082306922,0.0440295231173911,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,64,0.0011740178407341,0.0275540365210378,0.00187394843560274,0.0404612152781312,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,65,0.0011786403454071,0.0344495524485854,0.00126506014889164,0.0451445019726426,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,66,0.00144139907900749,0.027051902622623,0.0011164632190129,0.0782427027658598,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,67,0.00091719509460207,0.0675820455927299,0.0017746550176906,0.0380280252300133,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,68,0.00103949760266165,0.0550482929963214,0.00225878076077672,0.069249358020323,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,69,0.00121460791115826,0.0513027323603206,0.0010349451098606,0.0434623024091699,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,70,0.000960398579065824,0.0509235742149327,0.00135244838202598,0.0366142567064354,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,71,0.0013392412321725,0.0459221196195351,0.00147549681450676,0.05811248529104,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,72,0.000654144159667496,0.0459660359437006,0.00085228880593096,0.0528845979200492,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,73,0.00081697285178668,0.0442988997723677,0.000910104429998442,0.0364673725503311,0.609,0.0426,0.25,0.158529501915709
