"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose3","Atezolizumab","41",3,12534.8841070083
"Atezolizumab_Monkey_Dose3","Atezolizumab","42",3,12334.8248669403
"Atezolizumab_Monkey_Dose3","Atezolizumab","43",3,10525.7473596793
"Atezolizumab_Monkey_Dose3","Atezolizumab","44",3,10494.1982958513
"Atezolizumab_Monkey_Dose3","Atezolizumab","45",3,16295.9966503684
"Atezolizumab_Monkey_Dose3","Atezolizumab","46",3,12276.703546777
"Atezolizumab_Monkey_Dose3","Atezolizumab","47",3,10489.8947435319
"Atezolizumab_Monkey_Dose3","Atezolizumab","48",3,12550.2125679195
"Atezolizumab_Monkey_Dose3","Atezolizumab","49",3,15088.2696849418
"Atezolizumab_Monkey_Dose3","Atezolizumab","5",3,11016.7957929839
"Atezolizumab_Monkey_Dose3","Atezolizumab","50",3,13445.7737028796
"Atezolizumab_Monkey_Dose3","Atezolizumab","51",3,13483.0723108802
"Atezolizumab_Monkey_Dose3","Atezolizumab","52",3,11249.5976019539
"Atezolizumab_Monkey_Dose3","Atezolizumab","53",3,12951.0923424378
"Atezolizumab_Monkey_Dose3","Atezolizumab","54",3,8411.85770557082
"Atezolizumab_Monkey_Dose3","Atezolizumab","55",3,10181.0260700088
"Atezolizumab_Monkey_Dose3","Atezolizumab","56",3,11524.3298389913
"Atezolizumab_Monkey_Dose3","Atezolizumab","57",3,10748.1462204143
"Atezolizumab_Monkey_Dose3","Atezolizumab","58",3,13528.6433909979
"Atezolizumab_Monkey_Dose3","Atezolizumab","59",3,11769.8537979588
"Atezolizumab_Monkey_Dose3","Atezolizumab","6",3,9932.76020005195
"Atezolizumab_Monkey_Dose3","Atezolizumab","60",3,11153.6990362481
"Atezolizumab_Monkey_Dose3","Atezolizumab","61",3,12242.6018812667
"Atezolizumab_Monkey_Dose3","Atezolizumab","62",3,15695.1052395376
"Atezolizumab_Monkey_Dose3","Atezolizumab","63",3,13496.5259947124
"Atezolizumab_Monkey_Dose3","Atezolizumab","64",3,11110.0072774453
"Atezolizumab_Monkey_Dose3","Atezolizumab","65",3,17227.5898481601
"Atezolizumab_Monkey_Dose3","Atezolizumab","66",3,11641.3512766719
"Atezolizumab_Monkey_Dose3","Atezolizumab","67",3,14613.0798743591
"Atezolizumab_Monkey_Dose3","Atezolizumab","68",3,11612.4184046807
"Atezolizumab_Monkey_Dose3","Atezolizumab","69",3,14129.3795519325
"Atezolizumab_Monkey_Dose3","Atezolizumab","7",3,17165.7690488021
"Atezolizumab_Monkey_Dose3","Atezolizumab","70",3,10165.7227976449
"Atezolizumab_Monkey_Dose3","Atezolizumab","71",3,14922.9643366847
"Atezolizumab_Monkey_Dose3","Atezolizumab","72",3,11028.5268831914
"Atezolizumab_Monkey_Dose3","Atezolizumab","73",3,19565.4718666583
"Atezolizumab_Monkey_Dose3","Atezolizumab","74",3,12685.2569803096
"Atezolizumab_Monkey_Dose3","Atezolizumab","75",3,11570.2272719047
"Atezolizumab_Monkey_Dose3","Atezolizumab","76",3,12386.8632028099
"Atezolizumab_Monkey_Dose3","Atezolizumab","77",3,10272.7761738536
"Atezolizumab_Monkey_Dose3","Atezolizumab","78",3,14429.9453874088
"Atezolizumab_Monkey_Dose3","Atezolizumab","79",3,10019.2920433168
"Atezolizumab_Monkey_Dose3","Atezolizumab","8",3,11456.8587632338
"Atezolizumab_Monkey_Dose3","Atezolizumab","80",3,11854.0745788609
"Atezolizumab_Monkey_Dose3","Atezolizumab","81",3,12662.5275270612
"Atezolizumab_Monkey_Dose3","Atezolizumab","82",3,13891.8843694688
"Atezolizumab_Monkey_Dose3","Atezolizumab","83",3,10566.4408929546
"Atezolizumab_Monkey_Dose3","Atezolizumab","84",3,14392.4266512438
"Atezolizumab_Monkey_Dose3","Atezolizumab","85",3,10921.3814399102
"Atezolizumab_Monkey_Dose3","Atezolizumab","86",3,15813.8756234748
"Atezolizumab_Monkey_Dose3","Atezolizumab","87",3,13764.7112559651
"Atezolizumab_Monkey_Dose3","Atezolizumab","88",3,10336.96941556
"Atezolizumab_Monkey_Dose3","Atezolizumab","89",3,12146.5641902945
"Atezolizumab_Monkey_Dose3","Atezolizumab","9",3,13195.1046550988
"Atezolizumab_Monkey_Dose3","Atezolizumab","90",3,14683.6059973447
"Atezolizumab_Monkey_Dose3","Atezolizumab","91",3,11141.0936081892
"Atezolizumab_Monkey_Dose3","Atezolizumab","92",3,11138.3010357391
"Atezolizumab_Monkey_Dose3","Atezolizumab","93",3,12021.7806936272
"Atezolizumab_Monkey_Dose3","Atezolizumab","94",3,13785.5149638451
"Atezolizumab_Monkey_Dose3","Atezolizumab","95",3,12778.7324885105
"Atezolizumab_Monkey_Dose3","Atezolizumab","96",3,11677.713826103
"Atezolizumab_Monkey_Dose3","Atezolizumab","97",3,12413.9077033927
"Atezolizumab_Monkey_Dose3","Atezolizumab","98",3,8656.30805844369
"Atezolizumab_Monkey_Dose3","Atezolizumab","99",3,14903.192443905
"Avelumab_Monkey_Dose0.3","Avelumab","1",0.3,253.590852568903
"Avelumab_Monkey_Dose0.3","Avelumab","10",0.3,286.872015917112
"Avelumab_Monkey_Dose0.3","Avelumab","100",0.3,362.438168985495
"Avelumab_Monkey_Dose0.3","Avelumab","11",0.3,205.06811352908
"Avelumab_Monkey_Dose0.3","Avelumab","12",0.3,248.991980165214
"Avelumab_Monkey_Dose0.3","Avelumab","13",0.3,345.677048342554
"Avelumab_Monkey_Dose0.3","Avelumab","14",0.3,235.640173609032
"Avelumab_Monkey_Dose0.3","Avelumab","15",0.3,219.082699663224
"Avelumab_Monkey_Dose0.3","Avelumab","16",0.3,292.278332458887
"Avelumab_Monkey_Dose0.3","Avelumab","17",0.3,353.454438316481
"Avelumab_Monkey_Dose0.3","Avelumab","18",0.3,378.343967627002
"Avelumab_Monkey_Dose0.3","Avelumab","19",0.3,197.766155797384
"Avelumab_Monkey_Dose0.3","Avelumab","2",0.3,321.193644635751
"Avelumab_Monkey_Dose0.3","Avelumab","20",0.3,215.228295424867
"Avelumab_Monkey_Dose0.3","Avelumab","21",0.3,271.891260993331
"Avelumab_Monkey_Dose0.3","Avelumab","22",0.3,292.047692558487
"Avelumab_Monkey_Dose0.3","Avelumab","23",0.3,188.980825787442
"Avelumab_Monkey_Dose0.3","Avelumab","24",0.3,326.039071748723
"Avelumab_Monkey_Dose0.3","Avelumab","25",0.3,269.919783901751
"Avelumab_Monkey_Dose0.3","Avelumab","26",0.3,224.693060645888
"Avelumab_Monkey_Dose0.3","Avelumab","27",0.3,254.421727613149
"Avelumab_Monkey_Dose0.3","Avelumab","28",0.3,404.535941001016
"Avelumab_Monkey_Dose0.3","Avelumab","29",0.3,208.321170327508
"Avelumab_Monkey_Dose0.3","Avelumab","3",0.3,305.244676775171
"Avelumab_Monkey_Dose0.3","Avelumab","30",0.3,554.164180053933
"Avelumab_Monkey_Dose0.3","Avelumab","31",0.3,245.729726767259
"Avelumab_Monkey_Dose0.3","Avelumab","32",0.3,452.829930038445
"Avelumab_Monkey_Dose0.3","Avelumab","33",0.3,314.377250507257
"Avelumab_Monkey_Dose0.3","Avelumab","34",0.3,250.202499101809
"Avelumab_Monkey_Dose0.3","Avelumab","35",0.3,285.578675461525
"Avelumab_Monkey_Dose0.3","Avelumab","36",0.3,182.783731449674
"Avelumab_Monkey_Dose0.3","Avelumab","37",0.3,210.612035588809
"Avelumab_Monkey_Dose0.3","Avelumab","38",0.3,399.638882170462
"Avelumab_Monkey_Dose0.3","Avelumab","39",0.3,250.168341429119
"Avelumab_Monkey_Dose0.3","Avelumab","4",0.3,258.83051169102
"Avelumab_Monkey_Dose0.3","Avelumab","40",0.3,247.682434218609
"Avelumab_Monkey_Dose0.3","Avelumab","41",0.3,208.842488991264
"Avelumab_Monkey_Dose0.3","Avelumab","42",0.3,452.348107582261
"Avelumab_Monkey_Dose0.3","Avelumab","43",0.3,335.72107188541
"Avelumab_Monkey_Dose0.3","Avelumab","44",0.3,282.931322210363
"Avelumab_Monkey_Dose0.3","Avelumab","45",0.3,290.407919022158
"Avelumab_Monkey_Dose0.3","Avelumab","46",0.3,262.227173117265
"Avelumab_Monkey_Dose0.3","Avelumab","47",0.3,414.638954604668
"Avelumab_Monkey_Dose0.3","Avelumab","48",0.3,295.456438676384
