"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose3","Atezolizumab","39",3,8446.44031794336
"Atezolizumab_Monkey_Dose3","Atezolizumab","4",3,13512.5109126402
"Atezolizumab_Monkey_Dose3","Atezolizumab","40",3,8861.00167716027
"Atezolizumab_Monkey_Dose3","Atezolizumab","41",3,12699.1532511714
"Atezolizumab_Monkey_Dose3","Atezolizumab","42",3,12457.0351359346
"Atezolizumab_Monkey_Dose3","Atezolizumab","43",3,10687.1758604348
"Atezolizumab_Monkey_Dose3","Atezolizumab","44",3,10553.2870886176
"Atezolizumab_Monkey_Dose3","Atezolizumab","45",3,16418.7963129544
"Atezolizumab_Monkey_Dose3","Atezolizumab","46",3,12465.5182509379
"Atezolizumab_Monkey_Dose3","Atezolizumab","47",3,10621.6419899422
"Atezolizumab_Monkey_Dose3","Atezolizumab","48",3,12622.5471489543
"Atezolizumab_Monkey_Dose3","Atezolizumab","49",3,15238.5321835245
"Atezolizumab_Monkey_Dose3","Atezolizumab","5",3,11092.8573436166
"Atezolizumab_Monkey_Dose3","Atezolizumab","50",3,13611.4178417805
"Atezolizumab_Monkey_Dose3","Atezolizumab","51",3,13556.8262345478
"Atezolizumab_Monkey_Dose3","Atezolizumab","52",3,11345.3436557198
"Atezolizumab_Monkey_Dose3","Atezolizumab","53",3,13078.2118853951
"Atezolizumab_Monkey_Dose3","Atezolizumab","54",3,8508.56711132157
"Atezolizumab_Monkey_Dose3","Atezolizumab","55",3,10269.9041844425
"Atezolizumab_Monkey_Dose3","Atezolizumab","56",3,11619.8750551293
"Atezolizumab_Monkey_Dose3","Atezolizumab","57",3,10825.9307883771
"Atezolizumab_Monkey_Dose3","Atezolizumab","58",3,13634.3749139022
"Atezolizumab_Monkey_Dose3","Atezolizumab","59",3,11905.066893968
"Atezolizumab_Monkey_Dose3","Atezolizumab","6",3,9983.04687960078
"Atezolizumab_Monkey_Dose3","Atezolizumab","60",3,11219.1880963513
"Atezolizumab_Monkey_Dose3","Atezolizumab","61",3,12332.0777497788
"Atezolizumab_Monkey_Dose3","Atezolizumab","62",3,15805.0416216016
"Atezolizumab_Monkey_Dose3","Atezolizumab","63",3,13689.6752392962
"Atezolizumab_Monkey_Dose3","Atezolizumab","64",3,11239.498186139
"Atezolizumab_Monkey_Dose3","Atezolizumab","65",3,17401.4225713191
"Atezolizumab_Monkey_Dose3","Atezolizumab","66",3,11781.6500807411
"Atezolizumab_Monkey_Dose3","Atezolizumab","67",3,14708.4997536006
"Atezolizumab_Monkey_Dose3","Atezolizumab","68",3,11713.1776306223
"Atezolizumab_Monkey_Dose3","Atezolizumab","69",3,14274.7144738803
"Atezolizumab_Monkey_Dose3","Atezolizumab","7",3,17359.72402514
"Atezolizumab_Monkey_Dose3","Atezolizumab","70",3,10299.2531888204
"Atezolizumab_Monkey_Dose3","Atezolizumab","71",3,15109.7630483644
"Atezolizumab_Monkey_Dose3","Atezolizumab","72",3,11175.170504528
"Atezolizumab_Monkey_Dose3","Atezolizumab","73",3,19669.945415123
"Atezolizumab_Monkey_Dose3","Atezolizumab","74",3,12822.0285218151
"Atezolizumab_Monkey_Dose3","Atezolizumab","75",3,11679.6096698832
"Atezolizumab_Monkey_Dose3","Atezolizumab","76",3,12714.9820622446
"Atezolizumab_Monkey_Dose3","Atezolizumab","77",3,10351.3276296546
"Atezolizumab_Monkey_Dose3","Atezolizumab","78",3,14580.3194715323
"Atezolizumab_Monkey_Dose3","Atezolizumab","79",3,10128.5844959583
"Atezolizumab_Monkey_Dose3","Atezolizumab","8",3,11623.3147673848
"Atezolizumab_Monkey_Dose3","Atezolizumab","80",3,11925.9280983172
"Atezolizumab_Monkey_Dose3","Atezolizumab","81",3,12807.2376989823
"Atezolizumab_Monkey_Dose3","Atezolizumab","82",3,14047.1537154606
"Atezolizumab_Monkey_Dose3","Atezolizumab","83",3,10656.3484961187
"Atezolizumab_Monkey_Dose3","Atezolizumab","84",3,14533.2148525794
"Atezolizumab_Monkey_Dose3","Atezolizumab","85",3,11069.0975005855
"Atezolizumab_Monkey_Dose3","Atezolizumab","86",3,15968.9524920682
"Atezolizumab_Monkey_Dose3","Atezolizumab","87",3,13883.4324842664
"Atezolizumab_Monkey_Dose3","Atezolizumab","88",3,10410.316970651
"Atezolizumab_Monkey_Dose3","Atezolizumab","89",3,12230.1772571327
"Atezolizumab_Monkey_Dose3","Atezolizumab","9",3,13301.4861129379
"Atezolizumab_Monkey_Dose3","Atezolizumab","90",3,14840.195451376
"Atezolizumab_Monkey_Dose3","Atezolizumab","91",3,11202.3000195448
"Atezolizumab_Monkey_Dose3","Atezolizumab","92",3,11225.543624338
"Atezolizumab_Monkey_Dose3","Atezolizumab","93",3,12105.23986542
"Atezolizumab_Monkey_Dose3","Atezolizumab","94",3,13931.9728247685
"Atezolizumab_Monkey_Dose3","Atezolizumab","95",3,12827.0475543512
"Atezolizumab_Monkey_Dose3","Atezolizumab","96",3,11798.1968819545
"Atezolizumab_Monkey_Dose3","Atezolizumab","97",3,12553.6160590113
"Atezolizumab_Monkey_Dose3","Atezolizumab","98",3,8736.90436698742
"Atezolizumab_Monkey_Dose3","Atezolizumab","99",3,14960.4420317224
"Avelumab_Monkey_Dose0.3","Avelumab","1",0.3,259.690581624933
"Avelumab_Monkey_Dose0.3","Avelumab","10",0.3,296.174124863267
"Avelumab_Monkey_Dose0.3","Avelumab","100",0.3,366.625519220073
"Avelumab_Monkey_Dose0.3","Avelumab","11",0.3,203.611376570453
"Avelumab_Monkey_Dose0.3","Avelumab","12",0.3,246.865277891945
"Avelumab_Monkey_Dose0.3","Avelumab","13",0.3,357.229702183274
"Avelumab_Monkey_Dose0.3","Avelumab","14",0.3,235.377655869201
"Avelumab_Monkey_Dose0.3","Avelumab","15",0.3,222.422130038773
"Avelumab_Monkey_Dose0.3","Avelumab","16",0.3,298.534721051525
"Avelumab_Monkey_Dose0.3","Avelumab","17",0.3,355.554296895179
"Avelumab_Monkey_Dose0.3","Avelumab","18",0.3,381.531721491297
"Avelumab_Monkey_Dose0.3","Avelumab","19",0.3,191.897078966962
"Avelumab_Monkey_Dose0.3","Avelumab","2",0.3,330.209903951923
"Avelumab_Monkey_Dose0.3","Avelumab","20",0.3,224.347013168094
"Avelumab_Monkey_Dose0.3","Avelumab","21",0.3,273.941469908834
"Avelumab_Monkey_Dose0.3","Avelumab","22",0.3,299.883063510791
"Avelumab_Monkey_Dose0.3","Avelumab","23",0.3,193.956999707183
