"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","TNFA","Adalimumab",10,"Target reference concentration",10,1e-05,"µmol/l",0.229438487390494,0.229438758335691,0.000118090561174178,5.12860488008184e-07,1.00000051286049
"Human","TNFA","Adalimumab",10,"kdeg",0.1,0.000371666666666667,"1/min",0.229438487390494,0.229438758335691,0.000118090561174178,-5.12860488008184e-07,0.999999487139512
"Human","TNFA","Adalimumab",10,"kdeg",10,0.0371666666666667,"1/min",0.229438487390494,0.229438758335691,0.000118090561174178,5.12860488008184e-07,1.00000051286049
"Human","TNFA","Adalimumab",10,"kint",0.1,0.00144333333333333,"1/min",0.229438487390494,0.229438758335691,0.000118090561174178,-5.12860488008184e-07,0.999999487139512
"Human","TNFA","Adalimumab",10,"kint",10,0.144333333333333,"1/min",0.229438487390494,0.229438758335691,0.000118090561174178,5.12860488008184e-07,1.00000051286049
"Human","TNFA","Golimumab",0.1,"Target reference concentration",0.1,1e-07,"µmol/l",0.224453496952321,0.224453301781615,-8.69537380543406e-05,3.77635450362703e-07,1.00000037763545
"Human","TNFA","Golimumab",0.1,"Target reference concentration",10,1e-05,"µmol/l",0.224453496952321,0.224453301781615,-8.69537380543406e-05,-3.77635450362703e-07,0.99999962236455
"Human","TNFA","Golimumab",0.1,"kdeg",0.1,0.000371666666666667,"1/min",0.224453496952321,0.224453301781615,-8.69537380543406e-05,3.77635450362703e-07,1.00000037763545
"Human","TNFA","Golimumab",0.1,"kdeg",10,0.0371666666666667,"1/min",0.224453496952321,0.224453301781615,-8.69537380543406e-05,-3.77635450362703e-07,0.99999962236455
"Human","TNFA","Golimumab",0.1,"kint",0.1,0.00144333333333333,"1/min",0.224453496952321,0.224453301781615,-8.69537380543406e-05,3.77635450362703e-07,1.00000037763545
"Human","TNFA","Golimumab",0.1,"kint",10,0.144333333333333,"1/min",0.224453496952321,0.224453301781615,-8.69537380543406e-05,-3.77635450362703e-07,0.99999962236455
"Human","TNFA","Golimumab",0.3,"Target reference concentration",0.1,1e-07,"µmol/l",0.224491974199767,0.224492009769132,1.58443816955511e-05,-6.88112699441075e-08,0.99999993118873
"Human","TNFA","Golimumab",0.3,"Target reference concentration",10,1e-05,"µmol/l",0.224491974199767,0.224492009769132,1.58443816955511e-05,6.88112699441075e-08,1.00000006881127
"Human","TNFA","Golimumab",0.3,"kdeg",0.1,0.000371666666666667,"1/min",0.224491974199767,0.224492009769132,1.58443816955511e-05,-6.88112699441075e-08,0.99999993118873
"Human","TNFA","Golimumab",0.3,"kdeg",10,0.0371666666666667,"1/min",0.224491974199767,0.224492009769132,1.58443816955511e-05,6.88112699441075e-08,1.00000006881127
"Human","TNFA","Golimumab",0.3,"kint",0.1,0.00144333333333333,"1/min",0.224491974199767,0.224492009769132,1.58443816955511e-05,-6.88112699441075e-08,0.99999993118873
"Human","TNFA","Golimumab",0.3,"kint",10,0.144333333333333,"1/min",0.224491974199767,0.224492009769132,1.58443816955511e-05,6.88112699441075e-08,1.00000006881127
"Human","TNFA","Golimumab",1,"Target reference concentration",0.1,1e-07,"µmol/l",0.224626673551838,0.224644253060876,0.0078261004179625,-3.39869923526894e-05,0.999966013007647
"Human","TNFA","Golimumab",1,"Target reference concentration",10,1e-05,"µmol/l",0.224626673551838,0.224644253060876,0.0078261004179625,3.39869923526894e-05,1.00003398699235
"Human","TNFA","Golimumab",1,"kdeg",0.1,0.000371666666666667,"1/min",0.224626673551838,0.224644253060876,0.0078261004179625,-3.39869923526894e-05,0.999966013007647
"Human","TNFA","Golimumab",1,"kdeg",10,0.0371666666666667,"1/min",0.224626673551838,0.224644253060876,0.0078261004179625,3.39869923526894e-05,1.00003398699235
"Human","TNFA","Golimumab",1,"kint",0.1,0.00144333333333333,"1/min",0.224626673551838,0.224644253060876,0.0078261004179625,-3.39869923526894e-05,0.999966013007647
